time,addr,bus,data
76.0881700000001,35168262,0,0000000000000000
76.0884640000001,1089542,0,0000000000000000
76.0887600000001,2662406,0,800800800fc00000
76.0890500000001,34643974,0,ff0eff0000008000
76.15266800000025,417001744,0,01514bfd00818000
76.15352800000025,135307286,0,00000f00
76.16353600000025,135307286,0,00001e00
76.17366600000024,135307286,0,00002d00
76.18354400000024,135307286,0,00003c00
76.18380200000024,203988992,0,232628012019
76.19354400000024,135307286,0,00004b00
76.19431800000025,135307264,0,00fe0800
76.20354400000025,135307286,0,00005a00
76.20429200000025,135307264,0,00fe0c00
76.21366400000025,135307286,0,00006900
76.21413400000024,135307264,0,00fe0000
76.21441400000025,169385984,0,00204858020020a9
76.22354200000025,135307286,0,00007800
76.22415800000024,135307264,0,00fe0400
76.22820400000025,35168262,0,0000000000000000
76.22849800000024,1089542,0,0000000000000000
76.22879400000025,2662406,0,800800800fc00000
76.22908400000024,34643974,0,ff04ff0000008000
76.23354400000025,135307286,0,00008700
76.23415200000025,135307264,0,00fe0800
76.23842800000024,35168262,0,0000000000000000
76.23872200000025,1089542,0,0000000000000000
76.23901800000024,2662406,0,800800800fc00000
76.23930800000025,34643974,0,ff05ff0000008000
76.23959600000025,169385990,0,0000000000000000
76.24354200000025,135307286,0,00049600
76.24375400000025,169386006,0,00000000
76.24434800000024,135307264,0,00fe0c00
76.24462600000025,152575744,0,0000
76.24842200000025,35168262,0,0000000000000000
76.24871600000024,1089542,0,0000000000000000
76.24901200000025,2662406,0,800800800fc00000
76.24930200000024,34643974,0,ff06ff0000008000
76.25365800000024,135307286,0,0004a500
76.25423000000025,135307264,0,00fe0000
76.25840800000024,35168262,0,0000000000000000
76.25870200000024,1089542,0,0000000000000000
76.25899800000025,2662406,0,800800800fc00000
76.25928800000024,34643974,0,ff07ff0000008000
76.26353800000024,135307286,0,0004b400
76.26396800000025,135307264,0,00fe0400
76.26424800000025,170434560,0,000000a90000003e
76.26840600000024,35168262,0,0000000000000000
76.26870000000025,1089542,0,0000000000000000
76.26899600000024,2662406,0,800800800fc00000
76.26928600000025,34643974,0,ff08ff0000008000
76.27353600000025,135307286,0,0004c300
76.27393800000024,135307264,0,00fe0800
76.27841200000024,35168262,0,0000000000000000
76.27870600000024,1089542,0,0000000000000000
76.27900200000025,2662406,0,800800800fc00000
76.27929200000024,34643974,0,ff09ff0000008000
76.28353600000024,135307286,0,0004d200
76.28395400000025,135307264,0,00fe0c00
76.28840600000025,35168262,0,0000000000000000
76.28870000000025,1089542,0,0000000000000000
76.28899600000024,2662406,0,800800800fc00000
76.28928600000025,34643974,0,ff0aff0000008000
76.29365600000024,135307286,0,0004e100
76.29396600000024,135307264,0,00fe0000
76.29842800000024,35168262,0,0000000000000000
76.29872200000024,1089542,0,0000000000000000
76.29901800000025,2662406,0,800800800fc00000
76.29930800000025,34643974,0,ff0bff0000008000
76.30249400000025,3710988,0,1e543e6e00a58306
76.30353400000024,135307286,0,0004f000
76.30375200000024,169385996,0,00
76.30404600000024,135307264,0,00fe0400
76.30843200000025,35168262,0,0000000000000000
76.30872600000025,1089542,0,0000000000000000
76.30902200000024,2662406,0,800800800fc00000
76.30931200000025,34643974,0,ff0cff0000008000
76.30959600000024,203202560,0,0000002cc0000098
76.31249200000025,3710988,0,1e543e8e01a58306
76.31353200000025,135307286,0,00040f00
76.31396600000025,135307264,0,00fe0800
76.31424000000024,169385984,0,0020c858020020a9
76.31849400000024,35168262,0,0000000000000000
76.31878800000024,1089542,0,0000000000000000
76.31908400000025,2662406,0,800800800fc00000
76.31937400000025,34643974,0,ff0dff0000008000
76.32249200000024,3710988,0,1e543e8e02a58306
76.32353000000025,135307286,0,00041e00
76.32395200000025,135307264,0,00fe0c00
76.32447800000024,102277121,0,0000000000000000
76.32545600000024,103325697,0,002f000014000000
77.08809799999987,169385985,0,0081905d00000000
77.08838599999989,3710988,0,1e543e8e03a58306
77.08909999999989,135700737,0,00c5ffff7fffffff
77.08938999999988,135307286,0,00042d00
77.08967999999989,135307264,0,00fe0000
77.09011799999988,102277121,0,1300000031000000
77.09109399999988,103325697,0,002f000015000000
77.09413999999988,35168262,0,0000000000000000
77.09443399999988,1089542,0,0000000000000000
77.09472999999988,1089537,0,050128c4c60265
77.09498799999989,2662406,0,800800800fc00000
77.09527799999988,34643974,0,ff0fff0000008000
77.09541599999986,1089542,0,0000000000000000
77.09556399999988,169385990,0,0000000000000000
77.09571199999986,2662406,0,800800800fc00000
77.09600199999986,34643974,0,ff07ff0000008000
77.09694599999987,1089536,0,ab103700000000
77.09810399999988,169648129,0,0000000000000580
77.09839599999988,3710988,0,1e543e9e04a58306
77.09880199999986,169385985,0,0081915d00000000
77.09908999999986,3710988,0,1e543e8e0ca58306
77.09909599999988,169385995,0,0000000000000000
77.09938799999988,135307286,0,00043c00
77.09960199999988,169386006,0,00000000
77.09981999999988,135307264,0,00fe0400
77.09982399999986,135307286,0,0004b400
77.10011599999989,102277121,0,000000004f1f0000
77.10022799999986,135307264,0,00fe0400
77.10081999999986,102277121,0,13c200004d1c0000
77.10109399999988,103325697,0,002f000022000000
77.10179799999986,103325697,0,002f000015000040
77.10416799999989,35168262,0,0000000000000000
77.10446199999988,1089542,0,0000000000000000
77.10475799999988,2662406,0,800800800fc00000
77.10504799999988,34643974,0,ff00ff0000008000
77.10512799999987,35168262,0,0000000000000000
77.10542199999986,1089542,0,0000000000000000
77.10571799999987,2662406,0,800800800fc00000
77.10600799999986,34643974,0,ff08ff0000008000
77.10653000000015,135307286,0,00044b00
77.10674200000014,135700737,0,07c5ffff7fffffff
77.10703000000015,135307264,0,00fe0800
77.10757200000015,102277121,0,13c200004d1c0000
77.10812599999988,3710988,0,1e543e7e05a58306
77.10855400000014,103325697,0,002f000006000040
77.10879799999987,169648129,0,0000000000000580
77.10908999999987,3710988,0,1e543e8e0da58306
77.10916199999988,135307286,0,00044b00
77.10958399999988,135307264,0,00fe0800
77.10982399999986,135307286,0,0004c300
77.11011399999988,102277121,0,00c200004f1f0000
77.11021999999986,135307264,0,00fe0800
77.11081799999987,102277121,0,13c200004d1c0000
77.11109399999988,103325697,0,002f00002e000040
77.11168000000015,35168262,0,0000000000000000
77.11179799999987,103325697,0,002f000015000040
77.11197400000015,1089542,0,0000000000000000
77.11227000000015,2662406,0,7e27ec7fe0000000
77.11256000000014,34643974,0,ff01ff0000008000
77.11284600000015,169385990,0,0000000000000000
77.11397399999989,1089537,0,06000000000000
77.11424999999988,1089542,0,0000000000000000
77.11454599999988,2662406,0,800800800fc00000
77.11483599999988,34643974,0,ff01ff0000008000
77.11512199999989,35168262,0,0000000000000000
77.11514199999986,35168262,0,0000000000000000
77.11543599999986,1089542,0,0000000000000000
77.11554200000015,3710988,0,1e543e8e06a58306
77.11573199999987,2662406,0,800800800fc00000
77.11582200000015,169648129,0,0000000000000580
77.11602199999986,34643974,0,ff09ff0000008000
77.11653000000014,135307286,0,00045a00
77.11674400000014,169385995,0,00d63e0400000000
77.11702800000015,135307264,0,00fe0c00
77.11720799999995,135307286,0,0004d200
77.11724600000015,169386006,0,00000000
77.11757200000015,102277121,0,13c200004d1c0000
77.11761799999995,135307264,0,00fe0c00
77.11812399999988,3710988,0,1e543e8e06a58306
77.11829199999994,102277121,0,13c200004d1cc200
77.11854800000015,103325697,0,002f000006000040
77.11880999999987,3710988,0,1e543e8e0ea58306
77.11915799999989,135307286,0,00045a00
77.11926999999994,103325697,0,002f000007000040
77.11957399999989,135307264,0,00fe0c00
77.11982199999986,135307286,0,0004d200
77.11982199999989,170434560,0,000000a90000003e
77.12011399999989,102277121,0,13c200004d1c0000
77.12023599999986,135307264,0,00fe0c00
77.12082199999986,102277121,0,13c200004d1c0000
77.12110399999987,103325697,0,002f000030000040
77.12178000000014,35168262,0,0000000000000000
77.12179999999987,103325697,0,002f000015000040
77.12207400000014,1089542,0,0000000000000000
77.12237000000015,2662406,0,7e17ec7fe0000000
77.12239799999995,35168262,0,0000000000000000
77.12243599999995,102277121,0,13c200004d1cc200
77.12266000000015,34643974,0,ff02ff0000008000
77.12269199999994,1089542,0,0000000000000000
77.12298799999995,2662406,0,7e37ec7fe0000000
77.12327599999995,34643974,0,ff0aff0000008000
77.12341399999995,103325697,0,002f000007000040
77.12413199999988,35168262,0,0000000000000000
77.12442599999989,1089542,0,0000000000000000
77.12472199999988,2662406,0,800800800fc00000
77.12501199999988,34643974,0,ff02ff0000008000
77.12507599999986,35168262,0,0000000000000000
77.12536999999986,1089542,0,0000000000000000
77.12554000000014,3710988,0,1e543e8e07a58306
77.12566599999987,2662406,0,800800800fc00000
77.12595599999986,34643974,0,ff0aff0000008000
77.12624399999994,3710988,0,1e543e8e0fa58306
77.12646199999996,35168262,0,0000000000000000
77.12652399999995,169648129,0,0000000000000580
77.12665400000014,135307286,0,00046900
77.12675599999996,1089542,0,0000000000000000
77.12692600000014,135307264,0,00fe0000
77.12705199999995,2662406,0,7e07ee7fe0000000
77.12733399999995,135307286,0,0004e100
77.12734199999996,34643974,0,ff03ff0000008000
77.12757000000015,102277121,0,13c200004d1c0000
77.12760999999995,135307264,0,00fe0000
77.12763399999996,169385990,0,0000000000000000
77.12812399999989,3710988,0,1e543e8e07a58306
77.12829399999994,102277121,0,13c200004d1cc200
77.12855000000015,103325697,0,002f000006000040
77.12880999999986,3710988,0,1e543e8e0fa58306
77.12927199999994,103325697,0,002f000007000040
77.12927599999988,135307286,0,00046900
77.12956799999988,135307264,0,00fe0000
77.12993799999987,135307286,0,0004e100
77.13011399999988,102277121,0,13c200004d1c0000
77.13021999999987,135307264,0,00fe0000
77.13036599999995,3710988,0,1e543e8e08a58306
77.13046799999987,169385984,0,a220c858020020a9
77.13064599999996,169648129,0,0000000000000580
77.13082599999986,102277121,0,13c200004d1c0000
77.13109199999988,103325697,0,002f000037000040
77.13131799999995,135307286,0,00047800
77.13153199999995,169385995,0,00d63e0400000000
77.13172400000015,35168262,0,0000000000000000
77.13179799999986,103325697,0,002f000015000040
77.13181599999996,135307264,0,00fe0400
77.13201800000014,1089542,0,0000000000000000
77.13203399999996,169386006,0,00000000
77.13231400000015,2662406,0,7e17ec7fe0000000
77.13239399999995,35168262,0,0000000000000000
77.13243599999996,102277121,0,13c200004d1cc200
