addr,bus,data
1089536,0,ab06bc00000000
1089537,0,06000000000000
34643974,0,ff01ff0000008000
103325697,0,002f000013000060
102277121,0,002805882929c100
35168262,0,0000000000000000
135307286,0,00045a00
1089542,0,0000000000000000
2662406,0,7e37ed7fe0000000
102277121,0,002805872929c100
2662406,0,7e27ed7fe0000000
34643974,0,ff02ff0000008000
169385985,0,0000812e10f32c00
135700737,0,06c2ffff7fffffff
135307286,0,00046900
102277121,0,002905872929c200
135307286,0,00047800
34643974,0,ff03ff0000008000
169648129,0,0000000000000180
169385995,0,00863e0400000000
2662406,0,7df7ed7fe0000000
34643974,0,ff04ff0000008000
135307286,0,00048700
102277121,0,002805892929c100
34643974,0,ff05ff0000008000
169385990,0,0000000000000000
102277121,0,0028058b2929c100
135307286,0,00049600
169386006,0,00000000
2662406,0,7e17ed7fe0000000
135307286,0,0004a500
34643974,0,ff06ff0000008000
103325697,0,002f000014000060
34643974,0,ff07ff0000008000
102277121,0,0027058b2929c100
135307286,0,0004b400
102277121,0,002705882929c000
34643974,0,ff08ff0000008000
135307286,0,0004c300
102277121,0,002705892828c000
34643974,0,ff09ff0000008000
135307286,0,0004d200
34643974,0,ff0aff0000008000
135307286,0,0004e100
34643974,0,ff0bff0000008000
135307286,0,0004f000
34643974,0,ff0cff0000008000
135307286,0,00040f00
169385985,0,0000812e10af2c00
135307286,0,00041e00
34643974,0,ff0dff0000008000
102277121,0,002705892929c000
34643974,0,ff0eff0000008000
135307286,0,00042d00
102277121,0,002805842828c000
34643974,0,ff0fff0000008000
135307286,0,00043c00
34643974,0,ff00ff0000008000
102277121,0,002805772929c000
135307286,0,00044b00
102277121,0,002b05772828c100
169385985,0,0000802e10332b00
102277121,0,002b05752828c100
2662406,0,7e27ec7fe0000000
102277121,0,002b057d2828c100
102277121,0,002905802828c200
2662406,0,7e07ed7fe0000000
102277121,0,002805802828c100
102277121,0,002805812828c000
2662406,0,7e07ee7fe0000000
169385985,0,0000802e10332c00
102277121,0,002805832828c000
102277121,0,002805832828c100
2662406,0,7e37ee7fe0000000
102277121,0,002705862828c100
102277121,0,002705812828c100
2662406,0,7e37ec7fe0000000
169385985,0,0000802e10012c00
102277121,0,002805822828c000
2662406,0,7e07ec7fe0000000
102277121,0,002805892828c000
102277121,0,0026058c2828c100
102277121,0,0025058c2828c100
102277121,0,0026058a2828c100
102277121,0,002605862828c100
102277121,0,002705842828c200
102277121,0,002705812828c200
2662406,0,7df7eb7fe0000000
102277121,0,002705812828c000
169385985,0,0000802e0fe82c00
2662406,0,7df7ec7fe0000000
102277121,0,002605882828c100
102277121,0,002505852828c100
102277121,0,002605852828c200
169385985,0,0000802e0f852c00
102277121,0,0025058a2727c100
102277121,0,002805872828c100
2662406,0,7e17ec7fe0000000
102277121,0,0025058b2727c100
102277121,0,002605872727c100
102277121,0,002405872727c100
102277121,0,0027057c2727c100
2662406,0,7e17ee7fe0000000
102277121,0,0027057e2727c100
102277121,0,0027057f2727c100
102277121,0,0027057d2727c200
2662406,0,7df7ec7fd0000000
169385985,0,0000802e0f532b00
2662406,0,7e27ed7fd0000000
102277121,0,002705832727c200
169385985,0,0000802e0f532c00
102277121,0,002605832727c100
2662406,0,7e47ec7fd0000000
102277121,0,0028057c2727c100
2662406,0,7e17eb7fd0000000
102277121,0,0026057c2727c100
2662406,0,7df7ed7fd0000000
169385985,0,0000802e0efe2c00
102277121,0,002705822727c100
2662406,0,7e17ee7fd0000000
102277121,0,002505852727c100
102277121,0,002605852727c200
2662406,0,7e37ed7fd0000000
102277121,0,002505862727c100
102277121,0,002505832727c100
169385985,0,0000802e0efe2b00
2662406,0,7e17ed7fd0000000
102277121,0,0026057f2727c100
102277121,0,0026057d2727c100
102277121,0,0026057d2727c200
102277121,0,002805782727c000
169385985,0,0000802e0efa2b00
102277121,0,0028057b2727c000
102277121,0,0026057e2727c100
102277121,0,002605792727c100
2662406,0,7e27ec7fd0000000
169385985,0,0000802e0ede2b00
102277121,0,002705792727c100
102277121,0,0026057b2727c100
102277121,0,002605802727c100
2662406,0,7e07ed7fd0000000
102277121,0,002505802626c100
102277121,0,002505832727c000
102277121,0,002505862727c000
169385985,0,0000802e0ede2c00
102277121,0,002505822727c100
102277121,0,002505822727c000
2662406,0,7e27ee7fe0000000
102277121,0,002605852727c100
169385985,0,0000802e0e902c00
102277121,0,002405852727c100
102277121,0,002405872727c000
102277121,0,002405832626c000
102277121,0,002505812727c100
2662406,0,7e27ee7fd0000000
102277121,0,002505812626c100
102277121,0,002505802727c100
102277121,0,0026057c2626c200
102277121,0,002605812626c200
169385985,0,0000802e0e692c00
2662406,0,7df7ee7fe0000000
102277121,0,002405832727c000
102277121,0,002405852626c000
102277121,0,002405822626c100
102277121,0,002505822626c100
2662406,0,7e47ed7fe0000000
169385985,0,0000802e0e3b2c00
102277121,0,002405842626c100
102277121,0,002405882626c100
102277121,0,002305882626c200
102277121,0,002505832626c100
2662406,0,7e07ee7fd0000000
102277121,0,0025057c2626c100
169385985,0,0000802e0e3b2b00
102277121,0,002705792626c200
102277121,0,002605792626c100
102277121,0,0026057c2626c100
102277121,0,002705792626c100
169385985,0,0000802e0e1e2b00
102277121,0,002805712626c100
102277121,0,002805752626c100
102277121,0,002705752626c000
102277121,0,0026057b2626c100
102277121,0,0026057d2626c100
102277121,0,002505762626c100
102277121,0,002605762626c100
102277121,0,002705732626c100
102277121,0,002705752626c100
102277121,0,002605752626c000
169385985,0,0000802e0df72b00
102277121,0,002705702626c100
102277121,0,002805702626c200
102277121,0,0028056f2626c200
102277121,0,002805772626c200
102277121,0,002605782626c100
102277121,0,002605772626c100
